title,price_gbp,rating,in_stock,price_inr,category
Sharp Objects,47.82,4,True,5045.01,Mystery
"In a Dark, Dark Wood",19.63,1,True,2070.97,Mystery
The Past Never Ends,56.5,4,True,5960.75,Mystery
A Murder in Time,16.64,1,True,1755.52,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,True,4652.55,Mystery
The Last Mile (Amos Decker #2),54.21,2,True,5719.16,Mystery
That Darkness (Gardiner and Renner #1),13.92,1,True,1468.56,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,1,True,1127.8,Mystery
A Time of Torment (Charlie Parker #14),48.35,5,True,5100.93,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,2,True,1765.02,Mystery
Poisonous (Max Revere Novels #3),26.8,3,True,2827.4,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,True,5734.98,Mystery
Most Wanted,35.28,3,True,3722.04,Mystery
Hide Away (Eve Duncan #20),11.84,1,True,1249.12,Mystery
Boar Island (Anna Pigeon #19),59.48,3,True,6275.14,Mystery
The Widow,27.26,2,True,2875.93,Mystery
Playing with Fire,13.71,3,True,1446.41,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,True,2676.54,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,True,5517.65,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,True,2203.9,Mystery
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,True,2616.4,Mystery
In the Woods (Dublin Murder Squad #1),38.38,2,True,4049.09,Mystery
The Silkworm (Cormoran Strike #2),23.05,5,True,2431.78,Mystery
The Exiled,43.45,3,True,4583.98,Mystery
The Cuckoo's Calling (Cormoran Strike #1),19.21,1,True,2026.66,Mystery
Extreme Prey (Lucas Davenport #26),25.4,3,True,2679.7,Mystery
Career of Evil (Cormoran Strike #3),24.72,2,True,2607.96,Mystery
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,True,6087.35,Mystery
The Girl You Lost,12.29,5,True,1296.6,Mystery
The Girl In The Ice (DCI Erika Foster #1),15.85,3,True,1672.18,Mystery
Blood Defense (Samantha Brinkman #1),20.3,3,True,2141.65,Mystery
1st to Die (Women's Murder Club #1),53.98,1,True,5694.89,Mystery
Tipping the Velvet,53.74,1,True,5669.57,Historical Fiction
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,True,3132.3,Historical Fiction
A Flight of Arrows (The Pathfinders #2),55.53,5,True,5858.42,Historical Fiction
The House by the Lake,36.95,1,True,3898.23,Historical Fiction
Mrs. Houdini,30.25,5,True,3191.38,Historical Fiction
The Marriage of Opposites,28.08,4,True,2962.44,Historical Fiction
Glory over Everything: Beyond The Kitchen House,45.84,3,True,4836.12,Historical Fiction
"Love, Lies and Spies",20.55,2,True,2168.03,Historical Fiction
A Paris Apartment,39.01,4,True,4115.56,Historical Fiction
Lilac Girls,17.28,2,True,1823.04,Historical Fiction
The Constant Princess (The Tudor Court #1),16.62,3,True,1753.41,Historical Fiction
The Invention of Wings,37.34,1,True,3939.37,Historical Fiction
World Without End (The Pillars of the Earth #2),32.97,4,True,3478.34,Historical Fiction
The Passion of Dolssa,28.32,5,True,2987.76,Historical Fiction
Girl With a Pearl Earring,26.77,1,True,2824.24,Historical Fiction
Voyager (Outlander #3),21.07,5,True,2222.89,Historical Fiction
The Red Tent,35.66,5,True,3762.13,Historical Fiction
The Last Painting of Sara de Vos,55.55,2,True,5860.53,Historical Fiction
The Guernsey Literary and Potato Peel Pie Society,49.53,1,True,5225.42,Historical Fiction
Girl in the Blue Coat,46.83,2,True,4940.57,Historical Fiction
Between Shades of Gray,20.79,5,True,2193.35,Historical Fiction
While You Were Mine,41.32,5,True,4359.26,Historical Fiction
The Secret Healer,34.56,3,True,3646.08,Historical Fiction
Starlark,25.83,3,True,2725.07,Historical Fiction
Lost Among the Living,27.7,4,True,2922.35,Historical Fiction
A Spy's Devotion (The Regency Spies of London #1),16.97,5,True,1790.34,Historical Fiction
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,True,5516.6,Sequential Art
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,True,1717.54,Sequential Art
This One Summer,19.49,4,True,2056.2,Sequential Art
The Nameless City (The Nameless City #1),38.16,4,True,4025.88,Sequential Art
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,True,5384.72,Sequential Art
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,True,5317.2,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,True,1435.86,Sequential Art
"Pop Gun War, Volume 1: Gift",18.97,1,True,2001.34,Sequential Art
Patience,10.16,3,True,1071.88,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,True,1628.92,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,True,5107.26,Sequential Art
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,True,4949.01,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,True,4811.86,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,True,2101.56,Sequential Art
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,True,3077.44,Sequential Art
I am a Hero Omnibus Volume 1,54.63,3,True,5763.47,Sequential Art
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,True,2332.61,Sequential Art
Danganronpa Volume 1,51.99,4,True,5484.95,Sequential Art
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,True,3873.96,Sequential Art
Camp Midnight,17.08,4,True,1801.94,Sequential Art
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,True,4000.56,Sequential Art
The Shadow Hero (The Shadow Hero),33.14,1,True,3496.27,Sequential Art
